"","ID","Measurement","Value"
"340",40,"CelebratesBirthday","TRUE"
"341",41,"CelebratesBirthday","TRUE"
"342",42,"CelebratesBirthday","TRUE"
"343",43,"CelebratesBirthday","TRUE"
"344",44,"CelebratesBirthday","TRUE"
"345",45,"CelebratesBirthday","FALSE"
"346",46,"CelebratesBirthday","TRUE"
"347",47,"CelebratesBirthday","FALSE"
"348",48,"CelebratesBirthday","FALSE"
"349",49,"CelebratesBirthday","FALSE"
"350",50,"CelebratesBirthday","FALSE"
"351",51,"CelebratesBirthday","FALSE"
"352",52,"CelebratesBirthday","TRUE"
"353",53,"CelebratesBirthday","FALSE"
"354",54,"CelebratesBirthday","TRUE"
"355",55,"CelebratesBirthday","FALSE"
"356",56,"CelebratesBirthday","TRUE"
"357",57,"CelebratesBirthday","TRUE"
"358",58,"CelebratesBirthday","FALSE"
"359",59,"CelebratesBirthday","TRUE"
"360",60,"CelebratesBirthday","TRUE"
"361",61,"CelebratesBirthday","TRUE"
"362",62,"CelebratesBirthday","TRUE"
"363",63,"CelebratesBirthday","FALSE"
"364",64,"CelebratesBirthday","TRUE"
"365",65,"CelebratesBirthday","FALSE"
"366",66,"CelebratesBirthday","FALSE"
"367",67,"CelebratesBirthday","FALSE"
"368",68,"CelebratesBirthday","FALSE"
"369",69,"CelebratesBirthday","TRUE"
"370",70,"CelebratesBirthday","FALSE"
"371",71,"CelebratesBirthday","TRUE"
"372",72,"CelebratesBirthday","TRUE"
"373",73,"CelebratesBirthday","TRUE"
"374",74,"CelebratesBirthday","TRUE"
"375",75,"CelebratesBirthday","TRUE"
"376",76,"CelebratesBirthday","TRUE"
"377",77,"CelebratesBirthday","TRUE"
"378",78,"CelebratesBirthday","FALSE"
"379",79,"CelebratesBirthday","FALSE"
"380",80,"CelebratesBirthday","TRUE"
"381",81,"CelebratesBirthday","FALSE"
"382",82,"CelebratesBirthday","FALSE"
"383",83,"CelebratesBirthday","FALSE"
"384",84,"CelebratesBirthday","FALSE"
"385",85,"CelebratesBirthday","TRUE"
"386",86,"CelebratesBirthday","FALSE"
"387",87,"CelebratesBirthday","FALSE"
"388",88,"CelebratesBirthday","TRUE"
"389",89,"CelebratesBirthday","FALSE"
"390",90,"CelebratesBirthday","TRUE"
"391",91,"CelebratesBirthday","TRUE"
"392",92,"CelebratesBirthday","TRUE"
"393",93,"CelebratesBirthday","FALSE"
"394",94,"CelebratesBirthday","TRUE"
"395",95,"CelebratesBirthday","FALSE"
"396",96,"CelebratesBirthday","TRUE"
"397",97,"CelebratesBirthday","FALSE"
"398",98,"CelebratesBirthday","FALSE"
"399",99,"CelebratesBirthday","FALSE"
"400",100,"CelebratesBirthday","TRUE"
